Distance (m),Elevation (m)
76260.85065,10.69795799
76704.22769,18.03747368
77147.60473,18.27464867
77590.98177,18.21175575
78034.3588,14.85794163
78477.73584,16.18894768
78921.11288,18.710495
79364.48992,23.76530075
79807.86696,24.62923431
80251.244,25.26351547
80694.62104,22.72248077
81137.99807,22.25891113
81581.37511,18.34224892
82024.75215,15.48406887
82468.12919,16.1531353
82911.50623,20.54102707
83354.88327,29.4320507
83798.26031,29.18120003
84241.63735,31.64167404
84685.01438,25.06507492
85128.39142,23.38236809
85571.76846,16.18660545
86015.1455,17.77866936
86458.52254,12.46756268
86901.89958,15.04042721
87345.27662,15.88736629
87788.65365,24.80386353
88232.03069,32.4704628
88675.40773,13.8091259
89118.78477,10.86058617
89562.16181,9.027056694
90005.53885,12.67505169
90448.91589,24.51398277
90892.29293,41.24047852
91335.66996,47.09984207
91779.047,70.33540344
92222.42404,61.98258591
92665.80108,57.63133621
93109.17812,44.45394135
93552.55516,50.86155701
93995.9322,53.79387665
94439.30923,30.11759949
94882.68627,34.25492477
95326.06331,29.19099617
95769.44035,24.0553112
96212.81739,28.88322258
96656.19443,35.87463379
97099.57147,26.33799553
97542.94851,35.60765076
97986.32554,32.39133835
98429.70258,22.97510529
98873.07962,22.32641411
99316.45666,31.73958588
99759.8337,36.66453934
100203.2107,38.52791977
100646.5878,56.77468872
101089.9648,41.76337051
101533.3419,46.35192871
101976.7189,54.90721893
102420.0959,61.66963959
102863.473,68.65588379
103306.85,43.61714554
103750.227,36.39025116
104193.6041,19.43055916
104636.9811,10.8446188
105080.3582,8.892755508
105523.7352,11.74985504
105967.1122,17.57787132
106410.4893,33.48488235
106853.8663,17.95906448
107297.2434,16.4021244
107740.6204,12.42453098
108183.9974,15.33223534
108627.3745,32.07255173
109070.7515,40.12686157
109514.1285,29.43298721
109957.5056,36.32624435
110400.8826,16.18707085
110844.2597,21.03095436
111287.6367,27.101614
111731.0137,37.94438553
112174.3908,39.53067017
112617.7678,30.24328232
113061.1449,48.72688675
113504.5219,43.49398422
113947.8989,33.56013107
114391.276,29.9358902
114834.653,32.7692337
115278.0301,31.90733147
115721.4071,41.27147293
116164.7841,42.74406815
116608.1612,37.30739212
117051.5382,39.18654633
117494.9152,39.43195724
117938.2923,42.54163742
118381.6693,50.69896698
118825.0464,64.30856323
119268.4234,94.74585724
119711.8004,123.114624
120155.1775,171.2339172
120598.5545,217.6041412
121041.9316,242.7769775
121485.3086,281.7694092
121928.6856,322.4696655
122372.0627,364.3543701
122815.4397,382.7063904
123258.8167,382.8911438
123702.1938,417.8908386
124145.5708,415.1846619
124588.9479,408.3346252
125032.3249,406.5204163
125475.7019,429.9906311
125919.079,436.1782532
126362.456,438.9244995
126805.8331,431.8406067
127249.2101,450.0426025
127692.5871,437.3885498
128135.9642,431.6865234
128579.3412,434.3691711
129022.7183,434.5291138
129466.0953,418.1161499
129909.4723,413.3861389
130352.8494,420.3505554
130796.2264,419.1928406
131239.6034,419.2175903
131682.9805,416.8259888
132126.3575,405.2743225
132569.7346,431.8340759
133013.1116,435.3832703
133456.4886,433.6531067
133899.8657,426.8022766
134343.2427,441.8887634
134786.6198,437.1246338
135229.9968,431.2156677
135673.3738,432.4840393
