Distance (m),Elevation (m),Latitude,Longitude
23220.689840875708,14.33296585083008,-27.32789804312818,153.01200673558924
23667.241568584857,15.42909049987793,-27.32390932047055,153.01290629941718
24113.793296294003,13.27372360229492,-27.31987693716124,153.01287005613028
24560.345024003153,10.29192447662354,-27.31582644648319,153.01244573998247
25006.896751712302,9.688399314880371,-27.31177595452401,153.0120214548192
25453.448479421448,9.405549049377441,-27.30794975713141,153.01309088911182
25900.000207130597,8.98501205444336,-27.3042343445101,153.01494882558688
26346.551934839747,5.01046085357666,-27.30034592806402,153.01629401206822
26793.103662548892,4.658931255340576,-27.29643794499022,153.01755592027428
27239.65539025804,1.758980512619019,-27.29246708539132,153.01855030361526
27686.20711796719,12.38301944732666,-27.28849621876058,153.01954461584194
28132.758845676337,5.887532711029053,-27.28452803380214,153.02026822984953
28579.310573385486,9.956554412841797,-27.28057789725787,153.0191744305332
29025.862301094636,13.71498012542725,-27.27662775220794,153.01808070899312
29472.41402880378,8.391677856445312,-27.27259132111163,153.01794624072534
29918.96575651293,17.00113677978516,-27.26852650828831,153.0181272854004
30365.51748422208,21.61948585510254,-27.26446169523205,153.01830831683515
30812.069211931226,31.4965991973877,-27.26039688194288,153.01848933503288
31258.620939640376,28.9100227355957,-27.25633165030479,153.01846226280793
31705.172667349525,19.84914970397949,-27.25226615071027,153.018301943575
32151.72439505867,10.52065753936768,-27.24836672503515,153.01765210953988
32598.27612276782,17.5532054901123,-27.24523977992143,153.01472527743226
33044.82785047697,20.48116683959961,-27.24219301888149,153.0116994869586
33491.37957818612,30.14371681213379,-27.23931022060644,153.00847124116513
33937.93130589527,31.26728057861328,-27.23630562803411,153.00543575115512
34384.48303360441,33.2182731628418,-27.23264748106113,153.0034344007238
34831.03476131356,33.02051544189453,-27.22898930564593,153.00143318181244
35277.58648902271,38.42284774780273,-27.22533110179486,152.9994320943929
35724.13821673186,29.10744285583496,-27.22167286951423,152.9974311384368
36170.68994444101,23.22784805297852,-27.21801460881038,152.9954303139159
36617.24167215016,24.25828742980957,-27.21435631968964,152.99342962080186
37063.7933998593,26.94759750366211,-27.21069800215833,152.9914290590666
37510.34512756845,35.52031326293945,-27.20672226944987,152.99047994543537
37956.8968552776,30.62854957580566,-27.20273687543561,152.98956287974966
38403.44858298675,35.87869262695312,-27.19875147545386,152.98864587963624
38850.0003106959,31.45541381835938,-27.19476606950607,152.98772894507897
39296.55203840505,24.46598243713379,-27.1907806575937,152.98681207606205
39743.10376611419,35.68136596679688,-27.18682344792184,152.98575355999708
40189.65549382334,35.84805297851562,-27.18287056296248,152.98467335242572
40636.20722153249,26.02160835266113,-27.17891766972772,152.98359322139606
