Distance (m),Elevation (m)
82811.31325765215,18.28146171569824
83402.82263806395,28.48920249938965
83994.33201847576,33.77019882202148
84585.84139888755,30.74040222167969
85177.35077929936,24.18844985961914
85768.86015971116,20.47634696960449
86360.36954012296,12.57030200958252
86951.87892053476,11.84115982055664
87543.38830094656,20.09885215759277
88134.89768135836,21.34561157226562
88726.40706177017,26.02898406982422
89317.91644218196,25.58529853820801
89909.42582259377,30.24119186401367
90500.93520300556,20.86454391479492
91092.44458341737,17.90558815002441
91683.95396382918,27.06187057495117
92275.46334424097,24.6406135559082
92866.97272465278,24.96006774902344
93458.48210506457,21.02607154846191
94049.99148547638,16.65939903259277
94641.50086588817,13.51139640808105
95233.01024629998,14.65616512298584
95824.51962671177,11.90762710571289
96416.02900712358,18.7349739074707
97007.53838753537,8.587170600891113
97599.04776794718,7.032680988311768
98190.55714835897,5.985701560974121
98782.06652877078,5.68006706237793
99373.57590918259,7.747292518615723
99965.08528959438,11.92864799499512
100556.59467000619,6.650168418884277
101148.10405041798,13.71712875366211
101739.61343082979,13.28835010528564
102331.12281124158,10.44515228271484
102922.63219165339,5.988683223724365
103514.14157206519,8.351730346679688
104105.650952477,7.205370426177979
104697.16033288879,8.16042423248291
105288.6697133006,8.05494499206543
105880.17909371239,7.345180511474609
106471.6884741242,9.232515335083008
107063.197854536,2.965216159820557
107654.7072349478,3.752436637878418
108246.2166153596,4.11565637588501
108837.7259957714,2.799409866333008
109429.2353761832,2.026496410369873
110020.744756595,3.639941453933716
110612.2541370068,2.846998929977417
111203.7635174186,3.461335897445679
111795.27289783041,8.282323837280273
112386.7822782422,11.88661098480225
112978.29165865401,4.654626846313477
113569.80103906582,2.35119366645813
114161.31041947761,6.133421897888184
114752.81979988942,7.079463005065918
115344.32918030121,11.87108993530273
115935.83856071302,11.62212467193604
116527.34794112481,6.252684116363525
117118.85732153662,4.916041851043701
117710.36670194841,3.05529522895813
118301.87608236022,3.710785150527954
118893.38546277201,2.691628932952881
119484.89484318382,4.078349590301514
120076.40422359561,4.688576221466064
120667.91360400742,5.997760772705078
121259.42298441923,3.119078397750854
121850.93236483102,3.433568477630615
122442.44174524283,12.26467514038086
123033.95112565462,12.16072463989258
123625.46050606643,16.31653213500977
124216.96988647823,9.283503532409668
124808.47926689003,13.7879695892334
125399.98864730183,6.255761623382568
125991.49802771363,6.701812267303467
126583.00740812543,9.022202491760254
127174.51678853724,11.43022346496582
127766.02616894903,13.44633960723877
128357.53554936084,28.61704063415527
128949.04492977264,42.24601745605469
129540.55431018444,20.92251396179199
130132.06369059625,19.75371170043945
130723.57307100804,22.11924171447754
131315.08245141985,19.75717735290527
131906.59183183164,21.28022575378418
132498.10121224343,13.11791133880615
133089.61059265526,24.31619453430176
133681.11997306705,28.03799629211426
134272.62935347884,22.2667350769043
134864.13873389064,38.73099136352539
135455.64811430246,39.35398101806641
136047.15749471425,49.26047134399414
136638.66687512604,47.62583923339844
137230.17625553787,29.57459831237793
137821.68563594966,17.71363258361816
138413.19501636145,23.03927421569824
139004.70439677325,20.36984825134277
139596.21377718507,23.46659660339355
140187.72315759686,8.872641563415527
140779.23253800865,6.938079833984375
141370.74191842045,10.53075790405273
141962.25129883227,6.105888843536377
142553.76067924406,13.60595512390137
143145.27005965586,13.41678142547607
143736.77944006765,16.75528717041016
144328.28882047947,14.52583694458008
144919.79820089127,19.92850112915039
145511.30758130306,16.86173439025879
146102.81696171488,18.44171714782715
146694.32634212667,18.96072006225586
147285.83572253847,28.87118721008301
147877.34510295026,36.09175872802734
148468.85448336208,20.65319061279297
149060.36386377388,20.33245658874512
149651.87324418567,20.33154296875
150243.38262459746,23.86380958557129
150834.8920050093,46.81752395629883
151426.40138542108,35.18751525878906
152017.91076583287,62.87894058227539
152609.4201462447,75.61055755615234
153200.9295266565,41.14308166503906
153792.43890706828,25.15316390991211
154383.94828748007,39.91268539428711
154975.4576678919,44.68954849243164
155566.9670483037,30.63607215881348
156158.47642871548,29.70586967468262
156749.98580912728,27.18412590026855
157341.4951895391,25.11587142944336
157933.0045699509,40.88835144042969
158524.51395036269,28.04251670837402
159116.0233307745,27.2454948425293
159707.5327111863,20.64265251159668
160299.0420915981,27.6247501373291
160890.5514720099,15.05956935882568
161482.0608524217,14.14501285552979
162073.5702328335,18.6976203918457
162665.0796132453,12.04919242858887
163256.5889936571,12.25441265106201
163848.0983740689,21.77346992492676
164439.6077544807,10.94148731231689
165031.1171348925,10.71267700195312
165622.6265153043,12.92366600036621
166214.1358957161,7.771478176116943
166805.6452761279,12.86844444274902
167397.1546565397,9.9591646194458
167988.66403695152,8.244751930236816
168580.17341736332,15.59713459014893
169171.6827977751,25.5824031829834
169763.1921781869,30.9320125579834
170354.70155859872,53.45418548583984
170946.21093901052,53.28318786621094
171537.7203194223,31.42937660217285
